x,y,z
10796.080912343732,-35234.404943246926,6895.29563982734
10664.503099751857,-34918.52058317045,6098.47097517424
10613.557924361803,-35238.45672890453,6560.40309976224
10790.909028090537,-35043.12788841245,6693.44887443874
10641.019078382464,-34941.08644726301,5951.50597857069
10683.85686684815,-35211.97811101517,6981.1818902019895
10662.879204657165,-34940.31382735085,6010.406655842789
10751.933531059745,-35151.77334294989,6262.28403643084
10853.74530627075,-35104.56209536109,6713.216500273939
10640.051994455103,-34941.82629537941,5902.75209129194
10896.276851492772,-35371.08815868413,6690.51178145154
10822.429919847926,-35184.49647755861,6155.9505449546405
10786.176361121019,-35200.88038926917,6408.37141149924
10812.565663788851,-35278.846477551655,6670.80912642329
10837.30487950563,-35117.13951333989,5884.40041653519
10745.20826824823,-35387.57833045973,6892.000691760591
10650.059298345097,-35129.40410963189,6348.368293074291
10826.26198991009,-35243.21757705221,6330.54257246904
10837.210185871076,-35255.39279571941,6876.278787761339
10681.773606887957,-35270.62472915477,5820.62074104594
10745.145810744585,-35274.59607495005,6922.9432963911895
10828.659552146672,-35220.832454378695,6457.61000162349
10846.8447594974,-35222.87125730885,6331.245907236341
10660.336579831477,-35296.22446706693,6813.79337199784
10640.658436667884,-35116.04513397845,5880.63829742799
10835.662851587302,-35256.57655270565,6798.27256811534
10755.721276441906,-35066.671940954206,6478.03042937614
10825.371466793647,-35223.34793797445,6291.84678487574
10899.655600963986,-35214.371445190365,6907.333802200789
10859.489381847636,-35003.08869867149,5993.74525334939
10916.31160685458,-35186.75375912717,6713.17524896794
10870.306618526793,-35128.394142471654,6498.788086555341
10925.234970842657,-35267.80635471941,6098.19665398934
11010.719145746736,-35237.686095161815,6762.94288709164
10704.498064422736,-35115.05900085149,5969.58333214254
10853.731202963478,-35238.153838064936,6672.21579595789
10803.06204944436,-35111.43424162349,6244.38715732274
10945.68678114814,-35360.590260109006,6058.20660667029
11035.480523803515,-35234.69393090045,6968.10522619999
10991.252552192253,-35026.51854647045,5849.750350777839
10736.288933776514,-35322.47368238597,6464.0421115115405
10827.746866690224,-35129.05156455629,6439.49139674564
10943.722391920692,-35084.65571214869,6042.853901859739
11033.663211923349,-35256.63514470413,6870.29012941279
10838.892508953048,-35157.026761118694,5952.04121426604
10798.788747340337,-35188.931593918125,6525.732408351891
10834.993951870878,-34969.37545859694,6851.328966609891
10816.74024274196,-35106.64558710365,5893.90884256819
10858.28858597116,-35049.70906085189,6957.75424224194
10905.611226149978,-35081.90983289789,6207.82509353229
10972.761101597856,-35150.31946691981,6441.95616227914
10952.88954164879,-35057.091652660376,6511.19854196544
10942.098496825998,-35106.448956329084,5954.789582528289
10963.575819046117,-35295.527321593494,6975.54799308504
10988.17601644834,-35041.44758906621,6210.023788142091
10629.275052939587,-34944.39540555005,6399.492067882739
11090.958905103067,-35096.247990085256,6678.92119574819
10787.606839430237,-35135.833340109166,5980.610837518991
