timestamp,mx,my,mz
11183.442578213,-345.23869848902007,21487.427256018113,-5030.904481354738
11183.459162476,-265.6779768812101,21391.695970712695,-5226.045144163622
11183.477100008,-388.8007002051101,21413.938895231517,-5159.74762637208
11183.49187919,-234.69051120441006,21545.953932492237,-5184.072934478396
11183.509266893,-348.3152535122701,21412.966271266298,-5207.7897999791985
11183.523510301,-363.7182027598201,21468.662681688107,-4924.170839029747
11183.539077386,-281.87376948885014,21415.88314764101,-4991.7234633844455
11183.553618736,-125.18330909488007,21436.567086356827,-4920.070824256773
11183.569319579,-299.6048134884201,21572.803132432826,-4794.469263103778
11183.583546061,-129.1293691771601,21309.936821898424,-5156.328364870809
11183.598958888,-278.93641597157006,21582.94350879897,-4793.918669031216
11183.612094099,-154.11704820534007,21306.78898466401,-5371.6013501565085
11183.626923355,-186.55705133574008,21602.34222997221,-4830.894211682715
11183.642993881,-286.35040922432006,21484.5591601698,-5195.755239106149
11183.657204882,-369.4920391378801,21526.044509073185,-5196.726268052129
11183.672605968,-363.8836306364801,21736.35328673167,-4851.799225278243
11183.687488409,-391.8671681627101,21576.400945135283,-5264.723086499137
11183.703069808,-276.5619207175601,21780.47477510271,-4615.18632939036
11183.716352482,-238.64060611295008,21522.32723385709,-5389.489975962397
11183.731220108,-258.4435333970301,21623.851455553096,-4792.906319704556
11183.746890118,-150.74796827824008,21329.970685435852,-5195.485623622212
11183.760908194,-268.85338514783007,21368.66260256196,-5392.393765714684
11183.776499315,-264.34446680228007,21464.821961874582,-5137.063770388277
11183.792123974,-350.3104750978401,21421.738801851265,-5305.306931393515
11183.80764254,-213.0315638407301,21484.74830914973,-5155.29845438236
11183.822164872,-303.46008997985007,21600.75238301985,-4979.582502531143
11183.835774581,-188.8185714544701,21487.302815899733,-4979.093889029603
11183.852290048,-275.94055747352013,21739.74801316094,-4596.267793096022
11183.866341013,-194.4350496083901,21483.001169887746,-5262.339933543418
11183.880997289,-319.8899025105701,21665.962987132145,-4744.645148079833
11183.895540639,-269.73095985938005,21522.500454501867,-5390.084989444188
11183.910601986,-365.69526762722006,21508.351115282152,-5011.45911020673
11183.925301206,-324.5117959914001,21487.311775588256,-5030.507805700209
11183.93965065,-194.0840197237701,21421.46602911178,-5263.263444051616
11183.954494906,-382.1876199649701,21686.821142013687,-4745.527338207352
11183.968841999,-413.6390906616701,21555.11471624653,-5324.03022888914
11183.984722915,-381.0619034384301,21625.879331722135,-4707.38242878261
11183.999440116,-332.3131325651101,21388.630761716882,-5451.8785857416115
11184.014401075,-438.9334164856101,21425.818446692065,-5072.6814522412515
11184.028166634,-444.7839145626101,21462.540227864058,-5355.311823082935
11184.042866614,-443.5593447927001,21350.17080097143,-5327.7036107315935
11184.057667148,-285.7149240883701,21577.751867060364,-5135.767343444442
11184.073084437,-410.17115749120006,21526.8688004173,-5158.451199428245
11184.087537677,-163.81677053438008,21624.37012196648,-4722.751544376536
11184.102915115,-342.24283999097014,21644.23176038008,-4833.2536054195425
11184.116344472,-387.07984680522014,21487.361551635604,-5051.232042630264
11184.131198858,-342.26503153540006,21716.319423194243,-4812.641966526841
11184.147951064,-371.7757508010401,21483.09275781487,-5324.314306506316
11184.162056696,-407.3023960203401,21467.261983715674,-5032.402345154387
11184.177334375,-347.1128752867901,21372.684507187834,-5159.569948735156
11184.19260235,-441.75376004135006,21238.24637194211,-5270.7940834305455
11184.207798622,-381.26969699082014,21491.811530268697,-4758.218893133214
11184.22232401,-388.7200036799101,21331.595375621357,-5180.513183682814
11184.236178291,-301.19856986112006,21715.79179709233,-4831.382825184256
11184.250860141,-172.9475823607601,21349.55955110997,-5263.944197323319
11184.265307344,-436.63558293054007,21602.689666782717,-4904.024054419696
11184.281639627,-308.4108218008701,21411.54864943777,-5285.1332885360225
11184.295996442,-460.7234957027401,21373.616314794228,-5142.21745486859
11184.311795803,-165.0695840881101,21468.90061119444,-4832.498475462616
11184.327211666,-348.5048903464901,21309.814372821944,-5248.397404092469
11184.337963375,-165.8846189926301,21509.479040515103,-4861.184116740188
11184.354240547,-322.53473112400013,21447.623341994204,-4943.219534523227
11184.368505492,-185.7964865857301,21469.01609162429,-4832.8951511171435
11184.383956522,-357.9705927524501,21586.37208294044,-4600.163271984628
11184.396292943,-441.4511480718501,21423.890122617726,-5199.653817023306
11184.411063107,-68.69170662862008,21308.255387018944,-5243.042282756341
11184.426502711,-289.1929443244901,21369.074748234012,-5373.256231402742
11184.441121672,-300.29880360514005,21489.866282338262,-4854.303240347452
11184.456517499,-323.3094177659201,21447.030011509793,-4982.2879544561665
11184.470705925,-264.3222752578501,21392.734299060416,-5157.675409280978
11184.484254986,-454.9617638034601,21625.245184878895,-4777.140528456103
11184.499092335,-440.80759328338013,21311.07569786179,-5201.346919621669
11184.511769494,-194.16471624897008,21503.809548721943,-5242.497886740882
11184.527065358,-263.54758861593007,21393.327629544827,-5118.606989348038
11184.541458765,-323.56562923343006,21560.141101507936,-4961.060641891333
11184.556187096,-386.0489486957901,21374.84379212188,-5033.390935262157
11184.571761884,-228.4526698064501,21509.52881656246,-4881.908353670243
11184.586285494,-365.2171407154101,21663.227295569784,-4940.78059905359
11184.60191056,-331.31249565263005,21554.207796663817,-5351.744841220733
11184.617431719,-495.7982403809201,21687.752949620077,-4728.174844340786
11184.632769176,-267.0296436783101,21287.654076541723,-5325.255378176303
11184.64716299,-458.73230894343004,21467.84735003251,-5013.859824324238
11184.662165394,-440.80759328338013,21311.07569786179,-5201.346919621669
11184.676675837,-411.5409810064701,21391.911003237245,-5267.890293678259
11184.690735913,-303.5145601343601,21508.004673992597,-5010.269083243146
11184.705886797,-389.4946903218301,21331.002045136946,-5219.581603615754
11184.720244963,-535.5311919762701,21761.406566883874,-4620.452611908026
11184.731609631,-87.53636267595007,21217.106484632568,-5176.4544892905205
11184.747945284,-381.60257015727007,21584.262574053744,-4747.066522387681
11184.762411061,-110.64986490636008,21328.70139622843,-5263.062007195801
11184.777913239,-409.8342494984901,21331.414190809002,-5200.444069303811
11184.792751754,-300.7628086250401,21468.909570882963,-4883.912392133222
11184.808854873,-410.17115749120006,21526.8688004173,-5158.451199428245
11184.823375057,-303.2301048830301,21662.732521659127,-4949.357677073241
11184.834809002,1599.8723623449098,19030.544276641773,-5372.296565561449
11184.851250229,-340.5542652011601,21552.819044942753,-4776.03624128243
11184.865359249,-289.06181247104007,21482.482503474355,-5332.494708871439
11184.879783341,-367.4161210271101,21434.928458878065,-5119.974693948546
11184.89434058,-149.18447310249007,21465.07681523701,-5076.279424388963
11184.90791253,-349.9776019313901,21329.28775806621,-5316.459302139047
11184.922176012,-403.4955374440301,21686.491624580227,-4775.225328811584
11184.936398457,-362.90720268156,21531.08781819069,-4864.644698622139
11184.951736136,-385.9985133675401,21570.595066972382,-4971.86385542012
11184.966077062,-235.7496530976601,21390.6327543413,-5284.05276058124
11184.980502283,-304.7310602517501,21414.366969238727,-5099.558293854558
11184.995312466,-283.0357994517301,21414.99315191439,-5050.326093283855
11185.009566614,-349.6669203093701,21308.92437709533,-5307.000033991878
11185.024992978,-230.2582545578001,21621.45324559177,-4938.81788097129
11185.041130003,-236.15918796305007,21462.42375191326,-5282.9753316550095
11185.055317078,-125.5787220683601,21642.27755276112,-4877.924035963174
